P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName	P_InvoiceNumber
067	171843	171843	expenseCategory	F	food	PT_Group12861	PT_Sup12861	PT_Add12861	PT_ContactName12861	PT_EMAIL01@test.com	PT_Phone12861	PT_SampleNotes12861	NSPT12861	PT14060	PT_Prod12861	15	5	CS	Dairy	PTINV12973
067	171850	171850	expenseCategory	D	nonFood	PT_Group12862	PT_Sup12862	PT_Add12862	PT_ContactName12862	PT_EMAIL02@test.com	PT_Phone12862	PT_SampleNotes12862	NSPT12862	PT14061	PT_Prod12862	20	5	EA	Paper Towel	PTINV12974
067	171868	171868	location	F	food	PT_Group12863	PT_Sup12863	PT_Add12863	PT_ContactName12863	PT_EMAIL01@test.com	PT_Phone12863	PT_SampleNotes12863	NSPT12863	PT14062	PT_Prod12863	12	5	CS	Meat	PTINV12975
067	171876	171876	expenseCategory	C	food	PT_Group12864	PT_Sup12864	PT_Add12864	PT_ContactName12864	PT_EMAIL02@test.com	PT_Phone12864	PT_SampleNotes12864	NSPT12864	PT14063	PT_Prod12864	15	5	EA	Meat	PTINV12976
067	171884	171884	expenseCategory	D	food	PT_Group12865	PT_Sup12865	PT_Add12865	PT_ContactName12865	PT_EMAIL01@test.com	PT_Phone12865	PT_SampleNotes12865	NSPT12865	PT14064	PT_Prod12865	16	5	CS	Meat	PTINV12977
067	171892	171892	expenseCategory	F	food	PT_Group12866	PT_Sup12866	PT_Add12866	PT_ContactName12866	PT_EMAIL02@test.com	PT_Phone12866	PT_SampleNotes12866	NSPT12866	PT14065	PT_Prod12866	20	5	EA	Dairy	PTINV12978
067	171900	171900	expenseCategory	D	nonFood	PT_Group12867	PT_Sup12867	PT_Add12867	PT_ContactName12867	PT_EMAIL01@test.com	PT_Phone12867	PT_SampleNotes12867	NSPT12867	PT14066	PT_Prod12867	25	5	CS	Dairy	PTINV12979
067	171918	171918	expenseCategory	F	food	PT_Group12868	PT_Sup12868	PT_Add12868	PT_ContactName12868	PT_EMAIL02@test.com	PT_Phone12868	PT_SampleNotes12868	NSPT12868	PT14067	PT_Prod12868	10	5	EA	Dairy	PTINV12980
067	171926	171926	expenseCategory	C	food	PT_Group12869	PT_Sup12869	PT_Add12869	PT_ContactName12869	PT_EMAIL01@test.com	PT_Phone12869	PT_SampleNotes12869	NSPT12869	PT14068	PT_Prod12869	12	5	CS	Paper Towel	PTINV12981
067	171934	171934	expenseCategory	D	food	PT_Group12870	PT_Sup12870	PT_Add12870	PT_ContactName12870	PT_EMAIL02@test.com	PT_Phone12870	PT_SampleNotes12870	NSPT12870	PT14069	PT_Prod12870	15	5	EA	Paper Towel	PTINV12982
067	171942	171942	expenseCategory	F	food	PT_Group12871	PT_Sup12871	PT_Add12871	PT_ContactName12871	PT_EMAIL01@test.com	PT_Phone12871	PT_SampleNotes12871	NSPT12871	PT14070	PT_Prod12871	18	5	CS	Paper Towel	PTINV12983
067	171959	171959	location	D	nonFood	PT_Group12872	PT_Sup12872	PT_Add12872	PT_ContactName12872	PT_EMAIL02@test.com	PT_Phone12872	PT_SampleNotes12872	NSPT12872	PT14071	PT_Prod12872	30	5	EA	Paper Towel	PTINV12984
067	171967	171967	expenseCategory	F	food	PT_Group12873	PT_Sup12873	PT_Add12873	PT_ContactName12873	PT_EMAIL01@test.com	PT_Phone12873	PT_SampleNotes12873	NSPT12873	PT14072	PT_Prod12873	15	5	CS	Meat	PTINV12985
067	171975	171975	expenseCategory	C	food	PT_Group12874	PT_Sup12874	PT_Add12874	PT_ContactName12874	PT_EMAIL02@test.com	PT_Phone12874	PT_SampleNotes12874	NSPT12874	PT14073	PT_Prod12874	20	5	EA	Meat	PTINV12986
067	171983	171983	expenseCategory	D	food	PT_Group12875	PT_Sup12875	PT_Add12875	PT_ContactName12875	PT_EMAIL01@test.com	PT_Phone12875	PT_SampleNotes12875	NSPT12875	PT14074	PT_Prod12875	12	5	CS	Meat	PTINV12987
067	171991	171991	expenseCategory	F	food	PT_Group12876	PT_Sup12876	PT_Add12876	PT_ContactName12876	PT_EMAIL02@test.com	PT_Phone12876	PT_SampleNotes12876	NSPT12876	PT14075	PT_Prod12876	15	5	EA	Dairy	PTINV12988
067	172007	172007	expenseCategory	D	nonFood	PT_Group12877	PT_Sup12877	PT_Add12877	PT_ContactName12877	PT_EMAIL01@test.com	PT_Phone12877	PT_SampleNotes12877	NSPT12877	PT14076	PT_Prod12877	16	5	CS	Dairy	PTINV12989
067	172015	172015	expenseCategory	F	food	PT_Group12878	PT_Sup12878	PT_Add12878	PT_ContactName12878	PT_EMAIL02@test.com	PT_Phone12878	PT_SampleNotes12878	NSPT12878	PT14077	PT_Prod12878	20	5	EA	Dairy	PTINV12990
067	172023	172023	location	C	food	PT_Group12879	PT_Sup12879	PT_Add12879	PT_ContactName12879	PT_EMAIL01@test.com	PT_Phone12879	PT_SampleNotes12879	NSPT12879	PT14078	PT_Prod12879	25	5	CS	Paper Towel	PTINV12991
067	172031	172031	expenseCategory	D	food	PT_Group12880	PT_Sup12880	PT_Add12880	PT_ContactName12880	PT_EMAIL02@test.com	PT_Phone12880	PT_SampleNotes12880	NSPT12880	PT14079	PT_Prod12880	10	5	EA	Paper Towel	PTINV12992
067	172049	172049	expenseCategory	F	food	PT_Group12881	PT_Sup12881	PT_Add12881	PT_ContactName12881	PT_EMAIL01@test.com	PT_Phone12881	PT_SampleNotes12881	NSPT12881	PT14080	PT_Prod12881	12	5	CS	Paper Towel	PTINV12993
067	172056	172056	expenseCategory	D	nonFood	PT_Group12882	PT_Sup12882	PT_Add12882	PT_ContactName12882	PT_EMAIL02@test.com	PT_Phone12882	PT_SampleNotes12882	NSPT12882	PT14081	PT_Prod12882	15	5	EA	Paper Towel	PTINV12994
067	172064	172064	expenseCategory	F	food	PT_Group12883	PT_Sup12883	PT_Add12883	PT_ContactName12883	PT_EMAIL01@test.com	PT_Phone12883	PT_SampleNotes12883	NSPT12883	PT14082	PT_Prod12883	18	5	CS	Dairy	PTINV12995
