P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName	P_InvoiceNumber	P_Price	P_Quantity
067	156414	156414	expenseCategory	D	food	PT_Group11465	PT_Sup11465	PT_Add11465	PT_ContactName11465	PT_EMAIL01@test.com	PT_Phone11465	PT_SampleNotes11465	NSPT11465	PT12664	PT_Prod11465	16	5	CS	Meat	PTINV11577	8	31
067	156422	156422	expenseCategory	F	food	PT_Group11466	PT_Sup11466	PT_Add11466	PT_ContactName11466	PT_EMAIL02@test.com	PT_Phone11466	PT_SampleNotes11466	NSPT11466	PT12665	PT_Prod11466	20	5	EA	Dairy	PTINV11578	10	32
067	156430	156430	expenseCategory	D	nonFood	PT_Group11467	PT_Sup11467	PT_Add11467	PT_ContactName11467	PT_EMAIL01@test.com	PT_Phone11467	PT_SampleNotes11467	NSPT11467	PT12666	PT_Prod11467	25	5	CS	Dairy	PTINV11579	12	43
067	156448	156448	expenseCategory	F	food	PT_Group11468	PT_Sup11468	PT_Add11468	PT_ContactName11468	PT_EMAIL02@test.com	PT_Phone11468	PT_SampleNotes11468	NSPT11468	PT12667	PT_Prod11468	10	5	EA	Dairy	PTINV11580	15	33
067	156455	156455	expenseCategory	C	food	PT_Group11469	PT_Sup11469	PT_Add11469	PT_ContactName11469	PT_EMAIL01@test.com	PT_Phone11469	PT_SampleNotes11469	NSPT11469	PT12668	PT_Prod11469	12	5	CS	Paper Towel	PTINV11581	20	24
067	156463	156463	expenseCategory	D	food	PT_Group11470	PT_Sup11470	PT_Add11470	PT_ContactName11470	PT_EMAIL02@test.com	PT_Phone11470	PT_SampleNotes11470	NSPT11470	PT12669	PT_Prod11470	15	5	EA	Paper Towel	PTINV11582	50	50
067	156471	156471	location	F	food	PT_Group11471	PT_Sup11471	PT_Add11471	PT_ContactName11471	PT_EMAIL01@test.com	PT_Phone11471	PT_SampleNotes11471	NSPT11471	PT12670	PT_Prod11471	18	5	CS	Paper Towel	PTINV11583	20	9
067	156489	156489	expenseCategory	D	nonFood	PT_Group11472	PT_Sup11472	PT_Add11472	PT_ContactName11472	PT_EMAIL02@test.com	PT_Phone11472	PT_SampleNotes11472	NSPT11472	PT12671	PT_Prod11472	30	5	EA	Paper Towel	PTINV11584	75	8
067	156497	156497	expenseCategory	F	food	PT_Group11473	PT_Sup11473	PT_Add11473	PT_ContactName11473	PT_EMAIL01@test.com	PT_Phone11473	PT_SampleNotes11473	NSPT11473	PT12672	PT_Prod11473	15	5	CS	Meat	PTINV11585	60	51
067	156505	156505	expenseCategory	C	food	PT_Group11474	PT_Sup11474	PT_Add11474	PT_ContactName11474	PT_EMAIL02@test.com	PT_Phone11474	PT_SampleNotes11474	NSPT11474	PT12673	PT_Prod11474	20	5	EA	Meat	PTINV11586	5	25
