P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName	P_InvoiceNumber	P_Price	P_Quantity
067	126839	126839	location	C	food	PT_Group9029	PT_Sup9029	PT_Add9029	PT_ContactName9029	PT_EMAIL01@test.com	PT_Phone9029	PT_SampleNotes9029	NSPT9029	PT10228	PT_Prod9029	25	5	CS	Paper Towel	PTINV9141	8	18
067	126847	126847	expenseCategory	D	food	PT_Group9030	PT_Sup9030	PT_Add9030	PT_ContactName9030	PT_EMAIL02@test.com	PT_Phone9030	PT_SampleNotes9030	NSPT9030	PT10229	PT_Prod9030	10	5	EA	Paper Towel	PTINV9142	10	19
067	126854	126854	expenseCategory	F	food	PT_Group9031	PT_Sup9031	PT_Add9031	PT_ContactName9031	PT_EMAIL01@test.com	PT_Phone9031	PT_SampleNotes9031	NSPT9031	PT10230	PT_Prod9031	12	5	CS	Paper Towel	PTINV9143	12	20
067	126862	126862	expenseCategory	D	nonFood	PT_Group9032	PT_Sup9032	PT_Add9032	PT_ContactName9032	PT_EMAIL02@test.com	PT_Phone9032	PT_SampleNotes9032	NSPT9032	PT10231	PT_Prod9032	15	5	EA	Paper Towel	PTINV9144	15	30
067	126870	126870	expenseCategory	F	food	PT_Group9033	PT_Sup9033	PT_Add9033	PT_ContactName9033	PT_EMAIL01@test.com	PT_Phone9033	PT_SampleNotes9033	NSPT9033	PT10232	PT_Prod9033	18	5	CS	Dairy	PTINV9145	20	40
067	126888	126888	expenseCategory	C	food	PT_Group9034	PT_Sup9034	PT_Add9034	PT_ContactName9034	PT_EMAIL02@test.com	PT_Phone9034	PT_SampleNotes9034	NSPT9034	PT10233	PT_Prod9034	30	5	EA	Paper Towel	PTINV9146	50	41
067	126896	126896	expenseCategory	D	food	PT_Group9035	PT_Sup9035	PT_Add9035	PT_ContactName9035	PT_EMAIL01@test.com	PT_Phone9035	PT_SampleNotes9035	NSPT9035	PT10234	PT_Prod9035	15	5	CS	Paper Towel	PTINV9147	20	42
067	126904	126904	expenseCategory	F	food	PT_Group9036	PT_Sup9036	PT_Add9036	PT_ContactName9036	PT_EMAIL02@test.com	PT_Phone9036	PT_SampleNotes9036	NSPT9036	PT10235	PT_Prod9036	20	5	EA	Meat	PTINV9148	75	22
067	126912	126912	location	D	nonFood	PT_Group9037	PT_Sup9037	PT_Add9037	PT_ContactName9037	PT_EMAIL01@test.com	PT_Phone9037	PT_SampleNotes9037	NSPT9037	PT10236	PT_Prod9037	12	5	CS	Meat	PTINV9149	60	23
067	126938	126938	expenseCategory	F	food	PT_Group9038	PT_Sup9038	PT_Add9038	PT_ContactName9038	PT_EMAIL02@test.com	PT_Phone9038	PT_SampleNotes9038	NSPT9038	PT10237	PT_Prod9038	15	5	EA	Meat	PTINV9150	5	31
