P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName	P_InvoiceNumber	P_Price	P_Quantity
067	131466	131466	expenseCategory	F	food	PT_Group9436	PT_Sup9436	PT_Add9436	PT_ContactName9436	PT_EMAIL02@test.com	PT_Phone9436	PT_SampleNotes9436	NSPT9436	PT10635	PT_Prod9436	20	5	EA	Meat	PTINV9548	60	30
067	131482	131482	expenseCategory	D	nonFood	PT_Group9437	PT_Sup9437	PT_Add9437	PT_ContactName9437	PT_EMAIL01@test.com	PT_Phone9437	PT_SampleNotes9437	NSPT9437	PT10636	PT_Prod9437	12	5	CS	Meat	PTINV9549	5	40
067	131490	131490	expenseCategory	F	food	PT_Group9438	PT_Sup9438	PT_Add9438	PT_ContactName9438	PT_EMAIL02@test.com	PT_Phone9438	PT_SampleNotes9438	NSPT9438	PT10637	PT_Prod9438	15	5	EA	Meat	PTINV9550	3	41
067	131508	131508	expenseCategory	C	food	PT_Group9439	PT_Sup9439	PT_Add9439	PT_ContactName9439	PT_EMAIL01@test.com	PT_Phone9439	PT_SampleNotes9439	NSPT9439	PT10638	PT_Prod9439	16	5	CS	Dairy	PTINV9551	45	42
067	131516	131516	expenseCategory	D	food	PT_Group9440	PT_Sup9440	PT_Add9440	PT_ContactName9440	PT_EMAIL02@test.com	PT_Phone9440	PT_SampleNotes9440	NSPT9440	PT10639	PT_Prod9440	20	5	EA	Dairy	PTINV9552	45	22
067	131524	131524	expenseCategory	F	food	PT_Group9441	PT_Sup9441	PT_Add9441	PT_ContactName9441	PT_EMAIL01@test.com	PT_Phone9441	PT_SampleNotes9441	NSPT9441	PT10640	PT_Prod9441	25	5	CS	Dairy	PTINV9553	23	23
067	131532	131532	location	D	nonFood	PT_Group9442	PT_Sup9442	PT_Add9442	PT_ContactName9442	PT_EMAIL02@test.com	PT_Phone9442	PT_SampleNotes9442	NSPT9442	PT10641	PT_Prod9442	10	5	EA	Paper Towel	PTINV9554	14	31
067	131540	131540	expenseCategory	F	food	PT_Group9443	PT_Sup9443	PT_Add9443	PT_ContactName9443	PT_EMAIL01@test.com	PT_Phone9443	PT_SampleNotes9443	NSPT9443	PT10642	PT_Prod9443	12	5	CS	Paper Towel	PTINV9555	12	32
067	131573	131573	expenseCategory	C	food	PT_Group9444	PT_Sup9444	PT_Add9444	PT_ContactName9444	PT_EMAIL02@test.com	PT_Phone9444	PT_SampleNotes9444	NSPT9444	PT10643	PT_Prod9444	15	5	EA	Paper Towel	PTINV9556	6	43
067	131581	131581	expenseCategory	D	food	PT_Group9445	PT_Sup9445	PT_Add9445	PT_ContactName9445	PT_EMAIL01@test.com	PT_Phone9445	PT_SampleNotes9445	NSPT9445	PT10644	PT_Prod9445	18	5	CS	Dairy	PTINV9557	6	33
067	131599	131599	expenseCategory	F	food	PT_Group9446	PT_Sup9446	PT_Add9446	PT_ContactName9446	PT_EMAIL02@test.com	PT_Phone9446	PT_SampleNotes9446	NSPT9446	PT10645	PT_Prod9446	30	5	EA	Paper Towel	PTINV9558	4	24
067	131607	131607	expenseCategory	D	nonFood	PT_Group9447	PT_Sup9447	PT_Add9447	PT_ContactName9447	PT_EMAIL01@test.com	PT_Phone9447	PT_SampleNotes9447	NSPT9447	PT10646	PT_Prod9447	15	5	CS	Paper Towel	PTINV9559	20	50
067	131615	131615	expenseCategory	F	food	PT_Group9448	PT_Sup9448	PT_Add9448	PT_ContactName9448	PT_EMAIL02@test.com	PT_Phone9448	PT_SampleNotes9448	NSPT9448	PT10647	PT_Prod9448	20	5	EA	Meat	PTINV9560	30	9
067	131623	131623	expenseCategory	C	food	PT_Group9449	PT_Sup9449	PT_Add9449	PT_ContactName9449	PT_EMAIL01@test.com	PT_Phone9449	PT_SampleNotes9449	NSPT9449	PT10648	PT_Prod9449	12	5	CS	Meat	PTINV9561	8	8
067	131631	131631	expenseCategory	D	food	PT_Group9450	PT_Sup9450	PT_Add9450	PT_ContactName9450	PT_EMAIL02@test.com	PT_Phone9450	PT_SampleNotes9450	NSPT9450	PT10649	PT_Prod9450	15	5	EA	Meat	PTINV9562	10	51
067	131649	131649	location	F	food	PT_Group9451	PT_Sup9451	PT_Add9451	PT_ContactName9451	PT_EMAIL01@test.com	PT_Phone9451	PT_SampleNotes9451	NSPT9451	PT10650	PT_Prod9451	12	5	CS	Meat	PTINV9563	12	25
067	131656	131656	expenseCategory	D	nonFood	PT_Group9452	PT_Sup9452	PT_Add9452	PT_ContactName9452	PT_EMAIL02@test.com	PT_Phone9452	PT_SampleNotes9452	NSPT9452	PT10651	PT_Prod9452	15	5	EA	Meat	PTINV9564	15	10
067	131664	131664	expenseCategory	F	food	PT_Group9453	PT_Sup9453	PT_Add9453	PT_ContactName9453	PT_EMAIL01@test.com	PT_Phone9453	PT_SampleNotes9453	NSPT9453	PT10652	PT_Prod9453	16	5	CS	Meat	PTINV9565	20	34
067	131672	131672	expenseCategory	C	food	PT_Group9454	PT_Sup9454	PT_Add9454	PT_ContactName9454	PT_EMAIL02@test.com	PT_Phone9454	PT_SampleNotes9454	NSPT9454	PT10653	PT_Prod9454	20	5	EA	Dairy	PTINV9566	50	44
067	131680	131680	expenseCategory	D	food	PT_Group9455	PT_Sup9455	PT_Add9455	PT_ContactName9455	PT_EMAIL01@test.com	PT_Phone9455	PT_SampleNotes9455	NSPT9455	PT10654	PT_Prod9455	25	5	CS	Dairy	PTINV9567	20	26
067	131698	131698	expenseCategory	F	food	PT_Group9456	PT_Sup9456	PT_Add9456	PT_ContactName9456	PT_EMAIL02@test.com	PT_Phone9456	PT_SampleNotes9456	NSPT9456	PT10655	PT_Prod9456	10	5	EA	Dairy	PTINV9568	75	35
067	131706	131706	expenseCategory	D	nonFood	PT_Group9457	PT_Sup9457	PT_Add9457	PT_ContactName9457	PT_EMAIL01@test.com	PT_Phone9457	PT_SampleNotes9457	NSPT9457	PT10656	PT_Prod9457	12	5	CS	Paper Towel	PTINV9569	60	52
067	131714	131714	location	F	food	PT_Group9458	PT_Sup9458	PT_Add9458	PT_ContactName9458	PT_EMAIL02@test.com	PT_Phone9458	PT_SampleNotes9458	NSPT9458	PT10657	PT_Prod9458	15	5	EA	Paper Towel	PTINV9570	5	53
067	131722	131722	expenseCategory	C	food	PT_Group9459	PT_Sup9459	PT_Add9459	PT_ContactName9459	PT_EMAIL01@test.com	PT_Phone9459	PT_SampleNotes9459	NSPT9459	PT10658	PT_Prod9459	18	5	CS	Paper Towel	PTINV9571	3	35
067	131730	131730	expenseCategory	D	food	PT_Group9460	PT_Sup9460	PT_Add9460	PT_ContactName9460	PT_EMAIL02@test.com	PT_Phone9460	PT_SampleNotes9460	NSPT9460	PT10659	PT_Prod9460	30	5	EA	Paper Towel	PTINV9572	45	54
067	131748	131748	expenseCategory	F	food	PT_Group9461	PT_Sup9461	PT_Add9461	PT_ContactName9461	PT_EMAIL01@test.com	PT_Phone9461	PT_SampleNotes9461	NSPT9461	PT10660	PT_Prod9461	15	5	CS	Dairy	PTINV9573	45	27
067	131755	131755	expenseCategory	D	nonFood	PT_Group9462	PT_Sup9462	PT_Add9462	PT_ContactName9462	PT_EMAIL02@test.com	PT_Phone9462	PT_SampleNotes9462	NSPT9462	PT10661	PT_Prod9462	20	5	EA	Paper Towel	PTINV9574	23	45
067	131763	131763	expenseCategory	F	food	PT_Group9463	PT_Sup9463	PT_Add9463	PT_ContactName9463	PT_EMAIL01@test.com	PT_Phone9463	PT_SampleNotes9463	NSPT9463	PT10662	PT_Prod9463	12	5	CS	Meat	PTINV9575	14	36
067	131813	131813	expenseCategory	C	food	PT_Group9464	PT_Sup9464	PT_Add9464	PT_ContactName9464	PT_EMAIL02@test.com	PT_Phone9464	PT_SampleNotes9464	NSPT9464	PT10663	PT_Prod9464	15	5	EA	Meat	PTINV9576	12	28
067	131839	131839	expenseCategory	D	food	PT_Group9465	PT_Sup9465	PT_Add9465	PT_ContactName9465	PT_EMAIL01@test.com	PT_Phone9465	PT_SampleNotes9465	NSPT9465	PT10664	PT_Prod9465	16	5	CS	Meat	PTINV9577	6	55
067	131847	131847	location	F	food	PT_Group9466	PT_Sup9466	PT_Add9466	PT_ContactName9466	PT_EMAIL02@test.com	PT_Phone9466	PT_SampleNotes9466	NSPT9466	PT10665	PT_Prod9466	20	5	EA	Dairy	PTINV9578	6	46
067	131854	131854	expenseCategory	D	nonFood	PT_Group9467	PT_Sup9467	PT_Add9467	PT_ContactName9467	PT_EMAIL01@test.com	PT_Phone9467	PT_SampleNotes9467	NSPT9467	PT10666	PT_Prod9467	25	5	CS	Dairy	PTINV9579	4	7
067	131870	131870	expenseCategory	F	food	PT_Group9468	PT_Sup9468	PT_Add9468	PT_ContactName9468	PT_EMAIL02@test.com	PT_Phone9468	PT_SampleNotes9468	NSPT9468	PT10667	PT_Prod9468	10	5	EA	Dairy	PTINV9580	20	29
067	131888	131888	expenseCategory	C	food	PT_Group9469	PT_Sup9469	PT_Add9469	PT_ContactName9469	PT_EMAIL01@test.com	PT_Phone9469	PT_SampleNotes9469	NSPT9469	PT10668	PT_Prod9469	12	5	CS	Paper Towel	PTINV9581	30	56
067	131904	131904	expenseCategory	D	food	PT_Group9470	PT_Sup9470	PT_Add9470	PT_ContactName9470	PT_EMAIL02@test.com	PT_Phone9470	PT_SampleNotes9470	NSPT9470	PT10669	PT_Prod9470	15	5	EA	Paper Towel	PTINV9582	8	37
067	131912	131912	expenseCategory	F	food	PT_Group9471	PT_Sup9471	PT_Add9471	PT_ContactName9471	PT_EMAIL01@test.com	PT_Phone9471	PT_SampleNotes9471	NSPT9471	PT10670	PT_Prod9471	18	5	CS	Paper Towel	PTINV9583	10	57
