P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName	P_InvoiceNumber	P_Price	P_Quantity
067	00349	00349	expenseCategory	F	food	PT_Group1014	PT_Sup1014	PT_Add1014	PT_ContactName1014	PT_EMAIL02@test.com	PT_Phone1014	PT_SampleNotes1014	NSPT1014	0010710	PT_Prod1014	15	5	EA	Meat	PTINV1126	75	95
067	00349	00349	expenseCategory	C	food	PT_Group1015	PT_Sup1015	PT_Add1015	PT_ContactName1015	PT_EMAIL01@test.com	PT_Phone1015	PT_SampleNotes1015	NSPT1015	0010892	PT_Prod1015	16	5	CS	Meat	PTINV1127	60	45
067	00349	00349	expenseCategory	D	food	PT_Group1016	PT_Sup1016	PT_Add1016	PT_ContactName1016	PT_EMAIL02@test.com	PT_Phone1016	PT_SampleNotes1016	NSPT1016	0010918	PT_Prod1016	20	5	EA	Dairy	PTINV1128	5	51
067	00349	00349	location	F	food	PT_Group1017	PT_Sup1017	PT_Add1017	PT_ContactName1017	PT_EMAIL01@test.com	PT_Phone1017	PT_SampleNotes1017	NSPT1017	0011320	PT_Prod1017	25	5	CS	Dairy	PTINV1129	3	10
067	00349	00349	expenseCategory	D	nonFood	PT_Group1018	PT_Sup1018	PT_Add1018	PT_ContactName1018	PT_EMAIL02@test.com	PT_Phone1018	PT_SampleNotes1018	NSPT1018	0011692	PT_Prod1018	10	5	EA	Dairy	PTINV1130	45	11
067	00349	00349	expenseCategory	F	food	PT_Group1019	PT_Sup1019	PT_Add1019	PT_ContactName1019	PT_EMAIL01@test.com	PT_Phone1019	PT_SampleNotes1019	NSPT1019	0012195	PT_Prod1019	12	5	CS	Paper Towel	PTINV1131	45	12
067	00349	00349	expenseCategory	C	food	PT_Group1020	PT_Sup1020	PT_Add1020	PT_ContactName1020	PT_EMAIL02@test.com	PT_Phone1020	PT_SampleNotes1020	NSPT1020	0012989	PT_Prod1020	15	5	EA	Paper Towel	PTINV1132	23	13
067	00349	00349	expenseCategory	D	food	PT_Group1021	PT_Sup1021	PT_Add1021	PT_ContactName1021	PT_EMAIL01@test.com	PT_Phone1021	PT_SampleNotes1021	NSPT1021	0013029	PT_Prod1021	18	5	CS	Paper Towel	PTINV1133	14	14
067	00349	00349	expenseCategory	F	food	PT_Group1022	PT_Sup1022	PT_Add1022	PT_ContactName1022	PT_EMAIL02@test.com	PT_Phone1022	PT_SampleNotes1022	NSPT1022	0013052	PT_Prod1022	30	5	EA	Paper Towel	PTINV1134	12	15
067	00349	00349	expenseCategory	D	nonFood	PT_Group1023	PT_Sup1023	PT_Add1023	PT_ContactName1023	PT_EMAIL01@test.com	PT_Phone1023	PT_SampleNotes1023	NSPT1023	0013979	PT_Prod1023	15	5	CS	Meat	PTINV1135	6	16
067	00349	00349	expenseCategory	F	food	PT_Group1024	PT_Sup1024	PT_Add1024	PT_ContactName1024	PT_EMAIL02@test.com	PT_Phone1024	PT_SampleNotes1024	NSPT1024	0016709	PT_Prod1024	20	5	EA	Meat	PTINV1136	6	17
067	00349	00349	expenseCategory	C	food	PT_Group1025	PT_Sup1025	PT_Add1025	PT_ContactName1025	PT_EMAIL01@test.com	PT_Phone1025	PT_SampleNotes1025	NSPT1025	0016758	PT_Prod1025	12	5	CS	Meat	PTINV1137	4	18
067	00349	00349	location	D	food	PT_Group1026	PT_Sup1026	PT_Add1026	PT_ContactName1026	PT_EMAIL02@test.com	PT_Phone1026	PT_SampleNotes1026	NSPT1026	0017277	PT_Prod1026	15	5	EA	Dairy	PTINV1138	20	19
067	00349	00349	expenseCategory	F	food	PT_Group1027	PT_Sup1027	PT_Add1027	PT_ContactName1027	PT_EMAIL01@test.com	PT_Phone1027	PT_SampleNotes1027	NSPT1027	0019638	PT_Prod1027	16	5	CS	Dairy	PTINV1139	30	20
